x,y,z,qx,qy,qz,qw,tx,ty,tz
-2.4492935982947064e-16,1.142857142857143,-3.5428571428571427,0.0,-5.3578297462696695e-17,0.0,1.0,0.0,1.142857142857143,-1.2571428571428571
-2.4492935982947064e-16,1.142857142857143,-3.5428571428571427,0.0,-3.896603451832487e-17,0.0,1.0,0.0,1.142857142857143,-0.3999999999999999
-2.4492935982947064e-16,1.142857142857143,-3.5428571428571427,0.0,-3.061616997868383e-17,0.0,1.0,0.0,1.142857142857143,0.45714285714285724
-2.4492935982947064e-16,1.142857142857143,-3.5428571428571427,0.0,-2.5213316453033743e-17,0.0,1.0,0.0,1.142857142857143,1.3142857142857143
-2.4492935982947064e-16,1.142857142857143,-3.5428571428571427,0.0,-2.143131898507868e-17,0.0,1.0,0.0,1.142857142857143,2.1714285714285717
-1.1269302273657191,1.1428571428571428,-3.3808290373151326,3.200859513083024e-17,-0.24152031594303303,-7.966570241839089e-18,0.9703957630713242,0.0,1.142857142857143,-1.2571428571428571
-1.1269302273657191,1.1428571428571428,-3.3808290373151326,2.447959421656557e-17,-0.1797428723960979,-4.4728795648322796e-18,0.9837136269376369,0.0,1.142857142857143,-0.3999999999999999
-1.1269302273657191,1.1428571428571428,-3.3808290373151326,1.9623617054355047e-17,-0.14231483827328514,-2.821450182085833e-18,0.9898214418809327,0.0,1.142857142857143,0.45714285714285724
-1.1269302273657191,1.1428571428571428,-3.3808290373151326,1.630998929958955e-17,-0.11751068956693946,-1.929969657078365e-18,0.9930716176779509,0.0,1.142857142857143,1.3142857142857143
-1.1269302273657191,1.1428571428571428,-3.3808290373151326,1.3927265138284462e-17,-0.09995664813647605,-1.3991298727030148e-18,0.9949917931788789,0.0,1.142857142857143,2.1714285714285717
-0.34824059173083055,0.07108280671099666,-3.3808290373151326,0.22822769388443248,-0.07902014146669355,-0.018588183208815324,0.970217715995628,0.0,1.142857142857143,-1.2571428571428571
-0.34824059173083055,0.07108280671099666,-3.3808290373151326,0.17037690687698104,-0.05726438491970791,-0.009918562153858177,0.9836636223565453,0.0,1.142857142857143,-0.3999999999999999
-0.34824059173083055,0.07108280671099666,-3.3808290373151326,0.1350751596991726,-0.04481310550491146,-0.006115499888631788,0.9898025497382601,0.0,1.142857142857143,0.45714285714285724
-0.34824059173083055,0.07108280671099666,-3.3808290373151326,0.11160719932846035,-0.03677764566356771,-0.004133322825266842,0.9930630158655213,0.0,1.142857142857143,1.3142857142857143
-0.34824059173083055,0.07108280671099666,-3.3808290373151326,0.094971628460921,-0.03117244446879421,-0.0029754125327570336,0.9949873443484498,0.0,1.142857142857143,2.1714285714285717
0.9117057054136901,0.48046417484896964,-3.3808290373151326,0.1362623987437675,0.19941068602714596,0.028012804860002502,0.9699913503483694,0.0,1.142857142857143,-1.2571428571428571
0.9117057054136901,0.48046417484896964,-3.3808290373151326,0.10335297915877531,0.14705666212792157,0.015452281204271057,0.9835922563889897,0.0,1.142857142857143,-0.3999999999999999
0.9117057054136901,0.48046417484896964,-3.3808290373151326,0.08252211572821046,0.11594659808934091,0.009667011173101283,0.9897742347132642,0.0,1.142857142857143,0.45714285714285724
0.9117057054136901,0.48046417484896964,-3.3808290373151326,0.06843929941194142,0.09552394704209126,0.006583347621477117,0.9930497960181036,0.0,1.142857142857143,1.3142857142857143
0.9117057054136901,0.48046417484896964,-3.3808290373151326,0.05836550329553728,0.08114677770397234,0.004760066116179331,0.9949804069748762,0.0,1.142857142857143,2.1714285714285717
0.9117057054136901,1.805250110865316,-3.3808290373151326,-0.1362623987437675,0.19941068602714596,-0.028012804860002495,0.9699913503483694,0.0,1.142857142857143,-1.2571428571428571
0.9117057054136901,1.805250110865316,-3.3808290373151326,-0.10335297915877531,0.14705666212792157,-0.015452281204271055,0.9835922563889897,0.0,1.142857142857143,-0.3999999999999999
0.9117057054136901,1.805250110865316,-3.3808290373151326,-0.08252211572821044,0.11594659808934091,-0.009667011173101281,0.9897742347132642,0.0,1.142857142857143,0.45714285714285724
0.9117057054136901,1.805250110865316,-3.3808290373151326,-0.06843929941194139,0.09552394704209126,-0.006583347621477116,0.9930497960181036,0.0,1.142857142857143,1.3142857142857143
0.9117057054136901,1.805250110865316,-3.3808290373151326,-0.05836550329553728,0.08114677770397234,-0.004760066116179331,0.9949804069748762,0.0,1.142857142857143,2.1714285714285717
-0.34824059173083055,2.2146314790032893,-3.3808290373151326,-0.22822769388443243,-0.07902014146669357,0.018588183208815317,0.970217715995628,0.0,1.142857142857143,-1.2571428571428571
-0.34824059173083055,2.2146314790032893,-3.3808290373151326,-0.17037690687698098,-0.05726438491970791,0.009918562153858175,0.9836636223565453,0.0,1.142857142857143,-0.3999999999999999
-0.34824059173083055,2.2146314790032893,-3.3808290373151326,-0.1350751596991726,-0.04481310550491146,0.006115499888631786,0.9898025497382601,0.0,1.142857142857143,0.45714285714285724
-0.34824059173083055,2.2146314790032893,-3.3808290373151326,-0.11160719932846032,-0.03677764566356771,0.004133322825266841,0.9930630158655213,0.0,1.142857142857143,1.3142857142857143
-0.34824059173083055,2.2146314790032893,-3.3808290373151326,-0.09497162846092098,-0.03117244446879421,0.002975412532757033,0.9949873443484498,0.0,1.142857142857143,2.1714285714285717
-1.1269302273657191,1.142857142857143,-3.3808290373151326,-3.200859513083024e-17,-0.24152031594303303,7.966570241839089e-18,0.9703957630713242,0.0,1.142857142857143,-1.2571428571428571
-1.1269302273657191,1.142857142857143,-3.3808290373151326,-2.447959421656557e-17,-0.1797428723960979,4.4728795648322796e-18,0.9837136269376369,0.0,1.142857142857143,-0.3999999999999999
